id,edad,precio,cantidad,categoria,genero,descuento,satisfaccion,comprado,fecha_compra,metodo_pago,ubicacion_tienda,tiempo_entrega,cliente_recurrente,valoracion_producto
1197,34.0,181.66,9.0,Deportes,No binario,48.6,1.3,False,2023-11-09,Transferencia,Las Palmas,8.0,True,3.2
986,28.0,17.47,9.0,Mascotas,Masculino,,4.3,True,2022-06-09,Tarjeta de crédito,Madrid,19.0,False,3.0
375,,290.71,10.0,Ropa,No binario,,8.9,True,2023-08-04,Contra reembolso,Murcia,1.0,False,2.8
169,55.0,227.92,7.0,Deportes,Masculino,22.7,8.3,False,2022-08-14,Efectivo,Murcia,28.0,True,4.2
19,66.0,37.36,8.0,Mascotas,Masculino,,3.1,True,2023-12-29,Transferencia,Zaragoza,12.0,True,2.2
753,19.0,101.94,9.0,Juguetes,Prefiero no decir,37.2,3.9,False,2023-10-30,Tarjeta de débito,Valencia,23.0,False,4.8
233,76.0,52.78,6.0,Deportes,No binario,6.2,4.0,True,2022-11-25,Transferencia,Las Palmas,5.0,True,2.7
11,55.0,134.54,6.0,Jardín,No binario,14.5,5.2,,2022-08-03,,Bilbao,16.0,True,4.5
376,41.0,26.65,4.0,Alimentos,No binario,14.4,4.6,True,2022-02-25,Criptomoneda,Málaga,26.0,True,4.2
838,64.0,52.22,8.0,Hogar,No binario,6.5,6.8,False,2022-06-29,PayPal,Murcia,16.0,False,3.3
157,71.0,232.34,8.0,Deportes,Prefiero no decir,34.8,2.8,False,2023-11-09,PayPal,Bilbao,25.0,False,1.3
339,,320.02,6.0,Jardín,Femenino,5.2,6.9,True,,,Zaragoza,119.0,,1.1
1029,43.0,38.83,9.0,Belleza,Prefiero no decir,,9.1,False,2023-04-14,Tarjeta de crédito,Barcelona,16.0,False,2.0
181,37.0,344.73,10.0,Hogar,Masculino,40.3,9.8,True,2022-12-24,PayPal,Sevilla,30.0,True,4.0
1200,30.0,395.7,1.0,Electrónica,Prefiero no decir,2.9,1.6,True,2023-12-19,Criptomoneda,Valencia,25.0,True,3.8
968,54.0,431.54,4.0,Juguetes,No binario,25.7,1.0,False,2022-10-03,Contra reembolso,Málaga,,True,3.9
1193,78.0,158.35,10.0,Deportes,No binario,46.2,8.2,False,2022-01-24,Tarjeta de crédito,Valencia,24.0,False,2.3
574,68.0,41.09,6.0,Juguetes,Prefiero no decir,30.2,7.8,True,2022-08-24,Tarjeta de débito,Barcelona,28.0,False,1.6
852,40.0,378.36,10.0,Libros,Masculino,27.5,6.3,True,2023-06-07,Criptomoneda,Zaragoza,25.0,True,4.7
53,71.0,264.08,4.0,Electrónica,Prefiero no decir,20.6,1.7,False,2022-07-24,Criptomoneda,Palma,12.0,False,2.4
34,,30.65,8.0,Electrónica,Femenino,23.4,7.2,True,2023-08-08,,,29.0,True,2.1
485,30.0,269.03,9.0,Hogar,Prefiero no decir,42.4,0.3,True,2022-10-25,Transferencia,Murcia,9.0,True,4.3
779,31.0,252.8,6.0,HogaT,Prefiero no decir,29.3,1.4,True,2023-08-15,Tarjeta de crédito,Valencia,5.0,True,3.1
406,75.0,176.21,9.0,Alimentos,,25.4,7.3,True,2022-12-03,PayPal,Zaragoza,21.0,True,1.1
985,37.0,195.26,9.0,Deportes,No binario,11.3,,False,2022-12-31,Contra reembolso,Las Palmas,29.0,True,5.0
299,25.0,243.61,8.0,Belleza,No binario,44.3,2.6,False,2024-02-14,Transferencia,Málaga,104.0,,4.1
17,75.0,227.62,8.0,Ropa,Prefiero no decir,30.9,4.5,True,2023-11-20,Tarjeta de crédito,Las Palmas,11.0,False,4.9
179,84.0,339.71,6.0,Jardín,Prefiero no decir,39.8,3.9,False,2023-02-18,Efectivo,Palma,29.0,True,1.0
444,74.0,147.76,3.0,Jardín,No binario,34.3,3.2,True,2022-06-29,Contra reembolso,Bilbao,24.0,False,2.7
185,56.0,117.45,8.0,Electrónica,No binario,29.4,3.3,True,2022-12-06,,Zaragoza,3.0,False,2.3
469,55.0,247.0,2.0,Ropa,Femenino,41.3,9.6,False,2022-08-06,Contra reembolso,Valencia,10.0,False,4.7
1076,78.0,137.36,9.0,Juguetes,Prefiero no decir,45.4,2.0,False,2024-01-09,Tarjeta de crédito,,25.0,False,2.8
236,11.0,237.04,6.0,Libros,Prefiero no decir,16.1,7.7,True,,Tarjeta de débito,Málaga,10.0,True,4.0
1164,29.0,216.66,3.0,Juguetes,Masculino,13.3,0.1,True,2023-10-09,Tarjeta de débito,Palma,14.0,False,4.9
949,72.0,476.35,6.0,Mascotas,Prefiero no decir,,7.5,False,2022-01-10,Efectivo,Valencia,14.0,False,4.2
1142,73.0,412.38,7.0,Libros,Masculino,3.7,9.8,True,2024-03-10,Tarjeta de crédito,Bilbao,16.0,False,4.7
889,,297.61,3.0,Hogar,Prefiero no decir,,1.3,True,2024-04-15,,Málaga,,True,1.9
477,36.0,200.59,9.0,Libros,Prefiero no decir,7.4,8.6,True,2024-03-04,PayPal,Valencia,8.0,False,3.1
969,71.0,140.67,7.0,Hogar,Masculino,16.5,7.4,True,2022-07-07,Tarjeta de crédito,Bilbao,5.0,False,2.1
341,26.0,132.52,6.0,,Masculino,26.0,3.0,False,2022-01-12,Criptomoneda,Madrid,16.0,True,1.6
1126,83.0,439.35,4.0,Mascotas,,19.6,9.3,True,2024-04-09,Tarjeta de crédito,Palma,27.0,True,2.7
94,10.0,455.06,4.0,Ropa,Prefiero no decir,40.7,9.0,True,2023-02-01,PayPal,,21.0,True,3.9
818,55.0,85.03,2.0,Belleza,No binario,14.2,7.1,False,2022-04-01,Efectivo,Murcia,11.0,True,2.3
405,85.0,445.6,10.0,Belleza,No binario,40.2,0.5,False,2023-04-07,Tarjeta de débito,Las Palmas,8.0,True,1.8
682,61.0,200.59,4.0,Electrónica,No binario,0.1,6.0,True,2023-06-29,PayPal,Madrid,15.0,True,1.7
597,,40.53,5.0,Electrónica,Masculino,39.8,9.7,True,2023-05-06,,Málaga,24.0,False,3.6
262,77.0,455.27,4.0,Jardín,Femenino,5.6,2.0,True,2024-02-04,Tarjeta de crédito,Bilbao,28.0,False,2.5
235,14.0,11.14,10.0,Jardín,Masculino,36.7,4.4,False,2022-03-26,Tarjeta de débito,Zaragoza,22.0,False,3.4
278,44.0,352.8,,Deportes,Masculino,25.3,9.8,True,2023-08-12,Efectivo,Las Palmas,27.0,False,3.4
1058,83.0,176.53,4.0,Alimentos,Prefiero no decir,2.7,,True,2023-03-11,Tarjeta de crédito,Palma,21.0,True,3.1
741,55.0,374.98,4.0,,Masculino,29.5,6.2,True,2022-01-08,Transferencia,Las Palmas,,True,4.5
141,61.0,85.31,5.0,Belleza,Femenino,26.0,1.1,True,2022-06-14,Transferencia,Sevilla,,False,3.3
246,78.0,298.64,10.0,Fogar,Femenino,5.5,6.1,False,,Efectivo,Zaragoza,7.0,False,3.0
1194,52.0,128.73,6.0,Electrónica,Femenino,26.1,0.6,True,2022-05-09,Tarjeta de débito,Málaga,14.0,True,3.8
611,21.0,316.63,,Ropa,Femenino,,1.7,True,2022-05-18,Criptomoneda,Barcelona,26.0,False,2.3
192,59.0,110.26,9.0,Electrónica,No binario,27.9,4.5,True,,Tarjeta de crédito,Barcelona,24.0,True,2.6
463,67.0,281.07,3.0,Deportes,Prefiero no decir,45.0,8.3,False,2024-04-12,Criptomoneda,Barcelona,23.0,False,1.4
692,25.0,418.56,8.0,Libros,Prefiero no decir,32.8,8.4,True,2024-04-27,Transferencia,Murcia,9.0,True,2.3
422,30.0,74.57,4.0,Mascotas,No binario,35.1,,True,2022-09-10,Contra reembolso,Palma,19.0,True,3.6
632,49.0,446.48,7.0,oascotas,Masculino,14.0,4.8,False,2022-03-29,Efectivo,Málaga,21.0,False,2.5
138,79.0,,1.0,Juguetes,Femenino,10.3,8.5,True,2023-07-24,Tarjeta de débito,,2.0,,3.1
465,83.0,292.33,1.0,Ropa,Femenino,5.3,8.7,False,2023-08-16,Criptomoneda,Palma,5.0,True,4.7
1050,,261.76,,wopa,Prefiero no decir,,1.1,True,2022-08-31,Tarjeta de débito,Málaga,18.0,True,4.2
802,107.0,490.67,5.0,Deportes,Femenino,43.7,2.2,False,2023-09-21,Tarjeta de crédito,Barcelona,17.0,True,
801,83.0,357.3,9.0,Jardín,No binario,26.2,4.4,True,2023-07-18,Tarjeta de crédito,Sevilla,83.0,True,1.6
864,26.0,459.53,6.0,,Prefiero no decir,7.1,0.5,,2022-06-11,Efectivo,Madrid,8.0,,4.9
411,27.0,173.6,5.0,Libros,Femenino,5.1,8.1,True,2023-08-22,Transferencia,Zaragoza,82.0,False,4.0
454,26.0,3888.37,86.0,Mascotas,Masculino,11.9,2.7,True,2024-01-22,PayPal,Las Palmas,18.0,True,1.1
649,62.0,475.63,6.0,Alimentos,Femenino,45.4,9.3,False,2023-10-01,PayPal,Murcia,1.0,False,5.0
217,52.0,143.62,10.0,Libros,Prefiero no decir,36.1,0.6,True,2024-01-12,PayPal,,6.0,False,1.7
439,42.0,160.41,7.0,Libros,Prefiero no decir,17.1,4.9,True,2024-03-04,Transferencia,Murcia,17.0,True,4.5
35,56.0,212.3,9.0,Libros,No binario,42.7,2.1,True,2023-11-15,,Murcia,28.0,False,3.6
1061,18.0,106.64,1.0,Mascotas,No binario,28.5,6.2,True,2023-12-19,PayPal,Las Palmas,20.0,True,
647,51.0,483.19,3.0,Hogar,Prefiero no decir,48.0,1.1,True,2024-02-25,Transferencia,Madrid,21.0,False,5.0
1134,49.0,232.18,10.0,Alimentos,Prefiero no decir,12.4,8.1,False,2023-09-13,Tarjeta de débito,Murcia,17.0,True,3.6
602,47.0,402.96,10.0,Belleza,Femenino,27.0,2.9,True,2023-10-25,Contra reembolso,Valencia,11.0,False,1.6
734,36.0,231.71,5.0,Deportes,No binario,9.8,2.4,True,2024-02-01,Tarjeta de débito,Barcelona,10.0,True,1.9
318,71.0,310.45,5.0,Alimentos,Femenino,0.1,5.6,True,2023-02-09,Tarjeta de débito,Málaga,14.0,True,2.6
1137,46.0,338.07,8.0,Belleza,Prefiero no decir,30.3,9.0,True,2023-08-13,Contra reembolso,Murcia,25.0,False,3.7
552,82.0,384.23,9.0,Deportes,Femenino,39.2,4.1,True,2023-01-10,Transferencia,Madrid,5.0,False,5.0
627,73.0,183.32,5.0,Alimentos,No binario,42.1,5.6,False,2024-01-07,Contra reembolso,,20.0,False,4.8
117,,4.85,1.0,Deportes,Masculino,35.7,7.6,False,2023-07-14,Tarjeta de débito,Palma,17.0,False,
428,76.0,24.3,6.0,Ropa,No binario,8.2,7.9,True,2023-03-23,Transferencia,Palma,29.0,,4.6
45,25.0,306.22,3.0,Ropa,Masculino,21.5,7.7,False,2023-06-20,PayPal,Sevilla,13.0,False,1.0
93,79.0,234.65,6.0,Hogar,Prefiero no decir,10.8,2.8,True,2023-01-26,Tarjeta de débito,Bilbao,19.0,False,4.1
497,55.0,244.29,9.0,Belleza,Prefiero no decir,30.3,7.1,False,2024-04-05,PayPal,Sevilla,12.0,True,2.8
294,74.0,27.6,10.0,Libros,Femenino,15.1,6.9,True,2022-01-07,Contra reembolso,Palma,8.0,False,2.0
905,69.0,80.04,6.0,Jardín,Masculino,21.3,6.2,True,2023-05-31,Efectivo,Sevilla,22.0,False,5.0
807,84.0,41.18,9.0,Mascotas,Masculino,0.9,,,2022-06-14,PayPal,Palma,6.0,False,3.4
1175,42.0,32.81,5.0,Ropa,Prefiero no decir,41.5,8.0,False,2023-10-31,Transferencia,Valencia,4.0,True,3.6
604,80.0,262.48,9.0,Electrónica,No binario,36.4,9.3,False,2022-01-23,Tarjeta de crédito,Barcelona,1.0,False,
902,71.0,348.34,7.0,Electrónica,Femenino,15.6,0.2,True,2022-04-20,Contra reembolso,Málaga,14.0,True,1.9
248,36.0,96.74,9.0,Libros,No binario,41.9,2.1,True,2022-08-07,Tarjeta de crédito,Murcia,21.0,True,3.5
365,50.0,363.37,4.0,Belleza,Femenino,10.8,7.8,False,2022-06-14,Tarjeta de débito,Zaragoza,16.0,False,2.9
1046,76.0,141.78,2.0,Electrónica,Femenino,8.6,6.8,False,2022-09-23,PayPal,Palma,24.0,False,1.8
1095,,352.06,3.0,,Femenino,3.8,6.5,True,2023-10-08,Tarjeta de débito,Barcelona,14.0,False,1.3
820,44.0,360.57,1.0,Alimentos,Femenino,36.0,9.0,True,2022-09-27,Transferencia,Valencia,5.0,False,
544,64.0,12.09,4.0,Belleza,Masculino,13.5,1.9,True,2022-09-27,Efectivo,Las Palmas,20.0,True,3.2
115,53.0,397.66,8.0,Juguetes,No binario,47.7,1.1,False,2024-02-13,Efectivo,Bilbao,24.0,False,4.0
720,21.0,150.19,1.0,Mascotas,Femenino,45.5,1.5,True,2022-05-18,Contra reembolso,Madrid,16.0,True,4.1
1163,85.0,354.2,7.0,Libros,Masculino,43.1,0.5,,2023-03-08,Criptomoneda,Barcelona,8.0,True,4.6
9,19.0,33.24,1.0,Juguetes,Prefiero no decir,22.1,0.3,True,2022-08-11,PayPal,Murcia,9.0,True,3.0
624,25.0,371.75,7.0,Mascotas,Prefiero no decir,48.1,7.1,True,2023-08-01,Tarjeta de débito,,24.0,False,1.7
868,58.0,24.27,1.0,Hogar,No binario,42.7,1.5,True,2023-02-14,Tarjeta de débito,Las Palmas,7.0,True,4.6
120,83.0,491.84,7.0,Deportes,Masculino,6.3,2.6,True,2022-07-21,Contra reembolso,Barcelona,25.0,True,2.4
107,68.0,290.91,5.0,Hogar,Femenino,26.8,3.1,True,2023-03-30,Criptomoneda,,14.0,False,5.0
1179,37.0,,6.0,Juguetes,Prefiero no decir,23.2,10.0,True,2023-09-12,Transferencia,Zaragoza,16.0,True,4.7
562,,59.94,27.0,,Masculino,47.7,1.3,True,2022-12-28,Criptomoneda,Bilbao,14.0,False,1.9
535,44.0,403.2,3.0,Mascotas,No binario,10.4,3.0,True,,Contra reembolso,Zaragoza,23.0,True,2.7
540,30.0,498.92,8.0,Alimentos,Masculino,44.3,6.4,True,2023-10-11,Criptomoneda,Las Palmas,9.0,False,4.9
758,80.0,77.75,1.0,Alimentos,No binario,47.4,,True,2023-03-10,Tarjeta de crédito,Valencia,17.0,False,1.7
242,38.0,28.83,1.0,Ropa,Masculino,1.9,1.2,True,2023-10-04,Transferencia,Madrid,7.0,True,2.1
1053,50.0,61.09,8.0,Hogar,Femenino,36.1,0.3,True,2023-09-20,Contra reembolso,Bilbao,23.0,True,2.6
693,57.0,12.27,10.0,Deportes,No binario,17.1,6.5,False,,Efectivo,Madrid,87.0,True,3.0
928,62.0,424.97,6.0,Libros,Prefiero no decir,26.8,1.0,True,2023-11-29,Contra reembolso,Málaga,13.0,False,1.5
923,79.0,366.03,1.0,Juguetes,Masculino,7.4,7.1,True,2022-09-07,Tarjeta de débito,Madrid,11.0,True,3.9
979,53.0,473.81,10.0,Electrónica,Femenino,5.4,7.7,False,2022-09-29,Criptomoneda,Zaragoza,20.0,True,
840,62.0,19.44,8.0,Hogar,Femenino,7.7,7.7,False,2023-05-22,Tarjeta de débito,Barcelona,4.0,False,2.6
238,71.0,301.19,9.0,Juguetes,Masculino,6.4,0.1,True,2024-03-02,Tarjeta de débito,Zaragoza,13.0,False,3.4
402,43.0,4.05,2.0,Jardín,Femenino,30.3,5.4,True,2022-07-18,Tarjeta de débito,Bilbao,29.0,False,1.4
925,47.0,,1.0,Deportes,No binario,29.0,3.0,True,2022-12-14,PayPal,,21.0,True,3.6
289,42.0,332.22,10.0,Jardín,No binario,3.1,7.3,True,2022-01-18,Transferencia,Barcelona,22.0,False,2.3
494,42.0,78.65,7.0,Juguetes,Prefiero no decir,45.8,0.9,True,2022-01-11,Transferencia,Murcia,21.0,True,
966,33.0,348.82,10.0,Belleza,Masculino,36.0,9.4,True,2022-08-12,PayPal,Madrid,21.0,True,3.9
1086,29.0,433.72,3.0,Belleza,No binario,48.4,4.9,True,2024-01-27,Contra reembolso,Las Palmas,24.0,False,3.9
539,46.0,,1.0,Jardín,No binario,15.6,0.4,True,2023-06-18,Criptomoneda,Bilbao,20.0,False,4.1
364,56.0,,3.0,Deportes,No binario,33.3,9.1,True,2022-05-26,Transferencia,Málaga,18.0,,4.4
72,32.0,258.69,1.0,,Prefiero no decir,,5.1,True,2023-04-09,Contra reembolso,Murcia,26.0,True,2.9
1176,69.0,248.09,5.0,Belleza,Femenino,15.1,7.2,True,2022-10-26,Tarjeta de crédito,Málaga,20.0,False,2.6
960,68.0,3334.13,6.0,Juguetes,Masculino,19.5,7.8,True,2022-03-19,PayPal,Murcia,15.0,True,3.6
813,46.0,472.13,6.0,Juguetes,Prefiero no decir,10.4,4.8,False,2024-04-23,Tarjeta de débito,Madrid,13.0,True,3.7
143,76.0,282.08,4.0,Deportes,,40.8,0.1,False,2022-09-19,Efectivo,Murcia,11.0,True,3.7
271,14.0,388.07,4.0,Hogar,,1.4,6.2,False,2022-03-17,PayPal,Palma,5.0,False,2.4
